country_name,category,dat_parameter,mode,powertrain,year,unit,value,pm10_concentration,pm25_concentration,no2_concentration,AQI_PM10,AQI_PM25,AQI_NO2,Overall_AQI,AQI_Band
China,Historical,Electricity demand,Buses,EV,2018-01-01,GWh,15000,21.067455263157893,50.15224736842105,7.169823684210526,19.506903021442493,137.0783980428458,6.763984607745779,137.0783980428458,Unhealthy for Sensitive Groups
China,Historical,Electricity demand,Trucks,EV,2018-01-02,GWh,5400,21.067455263157893,50.15224736842105,7.169823684210526,19.506903021442493,137.0783980428458,6.763984607745779,137.0783980428458,Unhealthy for Sensitive Groups
China,Historical,Electricity demand,Vans,EV,2018-01-03,GWh,490,21.067455263157893,50.15224736842105,7.169823684210526,19.506903021442493,137.0783980428458,6.763984607745779,137.0783980428458,Unhealthy for Sensitive Groups
China,Historical,Electricity demand,Cars,EV,2018-01-04,GWh,6200,21.067455263157893,50.15224736842105,7.169823684210526,19.506903021442493,137.0783980428458,6.763984607745779,137.0783980428458,Unhealthy for Sensitive Groups
China,Historical,EV stock,Vans,PHEV,2018-01-05,Vehicles,17,21.067455263157893,50.15224736842105,7.169823684210526,19.506903021442493,137.0783980428458,6.763984607745779,137.0783980428458,Unhealthy for Sensitive Groups
China,Historical,EV stock,Buses,PHEV,2018-01-06,Vehicles,31000,21.067455263157893,50.15224736842105,7.169823684210526,19.506903021442493,137.0783980428458,6.763984607745779,137.0783980428458,Unhealthy for Sensitive Groups
China,Historical,EV sales,Buses,PHEV,2018-01-07,Vehicles,1200,21.067455263157893,50.15224736842105,7.169823684210526,19.506903021442493,137.0783980428458,6.763984607745779,137.0783980428458,Unhealthy for Sensitive Groups
China,Historical,EV sales,Vans,BEV,2018-01-08,Vehicles,54000,21.067455263157893,50.15224736842105,7.169823684210526,19.506903021442493,137.0783980428458,6.763984607745779,137.0783980428458,Unhealthy for Sensitive Groups
China,Historical,EV stock,Vans,BEV,2018-01-09,Vehicles,200000,21.067455263157893,50.15224736842105,7.169823684210526,19.506903021442493,137.0783980428458,6.763984607745779,137.0783980428458,Unhealthy for Sensitive Groups
China,Historical,EV sales,Buses,BEV,2018-01-10,Vehicles,83000,21.067455263157893,50.15224736842105,7.169823684210526,19.506903021442493,137.0783980428458,6.763984607745779,137.0783980428458,Unhealthy for Sensitive Groups
China,Historical,EV sales,Buses,FCEV,2018-01-11,Vehicles,890,21.067455263157893,50.15224736842105,7.169823684210526,19.506903021442493,137.0783980428458,6.763984607745779,137.0783980428458,Unhealthy for Sensitive Groups
China,Historical,EV stock,Buses,BEV,2018-01-12,Vehicles,360000,21.067455263157893,50.15224736842105,7.169823684210526,19.506903021442493,137.0783980428458,6.763984607745779,137.0783980428458,Unhealthy for Sensitive Groups
China,Historical,EV stock,Buses,FCEV,2018-01-13,Vehicles,1200,21.067455263157893,50.15224736842105,7.169823684210526,19.506903021442493,137.0783980428458,6.763984607745779,137.0783980428458,Unhealthy for Sensitive Groups
China,Historical,EV charging points,EV,Publicly available fast,2018-01-14,charging points,110000,21.067455263157893,50.15224736842105,7.169823684210526,19.506903021442493,137.0783980428458,6.763984607745779,137.0783980428458,Unhealthy for Sensitive Groups
China,Historical,EV charging points,EV,Publicly available slow,2018-01-15,charging points,160000,21.067455263157893,50.15224736842105,7.169823684210526,19.506903021442493,137.0783980428458,6.763984607745779,137.0783980428458,Unhealthy for Sensitive Groups
China,Historical,EV sales,Cars,BEV,2018-01-16,Vehicles,820000,21.067455263157893,50.15224736842105,7.169823684210526,19.506903021442493,137.0783980428458,6.763984607745779,137.0783980428458,Unhealthy for Sensitive Groups
China,Historical,EV stock,Cars,BEV,2018-01-17,Vehicles,1700000,21.067455263157893,50.15224736842105,7.169823684210526,19.506903021442493,137.0783980428458,6.763984607745779,137.0783980428458,Unhealthy for Sensitive Groups
China,Historical,EV sales,Cars,PHEV,2018-01-18,Vehicles,270000,21.067455263157893,50.15224736842105,7.169823684210526,19.506903021442493,137.0783980428458,6.763984607745779,137.0783980428458,Unhealthy for Sensitive Groups
China,Historical,EV sales,Trucks,BEV,2018-01-19,Vehicles,36000,21.067455263157893,50.15224736842105,7.169823684210526,19.506903021442493,137.0783980428458,6.763984607745779,137.0783980428458,Unhealthy for Sensitive Groups
